x y z w
0.6720022703087972 0.019981253985990433 0.0 0.7402793975468688
0.6731222105746857 0.05982212798509376 0.04053739929173822 0.7359920709565086
0.669655534875628 0.0946879950901886 0.08858716468341454 0.7312645056877312
0.662248851258756 0.13491743558198144 0.14659947034959853 0.7223103834387217
0.6522394020240245 0.18232036412656508 0.20398536333134926 0.7069179480984887
0.6405669916342006 0.2241260339404015 0.2610020631004657 0.6865270422050238
0.6211117047228134 0.27353315206116047 0.3156422260980255 0.6631514739917596
0.5982979493336485 0.3220966680122831 0.3712377403116969 0.6328315141985039
0.5756721773712802 0.36091788693248417 0.4271272374300355 0.5965752422743469
0.5433088106239247 0.4036788672960874 0.4748091401205441 0.562507879078108
0.506154376099586 0.44601744784109826 0.5186361257327519 0.5252549370931923
0.4633293442250167 0.49167307700713136 0.5563593554234525 0.48378482090747815
0.41419550775582614 0.5568485984872014 0.5707544135767086 0.4388633382598828
