x y z w
0.7065455303538346 -0.023371815775156124 0.0 0.7072814143531898
0.7017869762914374 -0.029344133212161227 0.0026066390488466706 0.7117774874492941
0.7091604269228541 -0.038569604572107064 -0.007460839864949442 0.703951896378456
0.7104728917934435 -0.05096799523071205 -0.02460258569935664 0.7014450780519321
0.7116959616776745 -0.06866304516752991 -0.042168776972855315 0.6978508963699255
0.7111514474776313 -0.08686481149827047 -0.059160270206661425 0.6951389150963139
0.7100443880262906 -0.10322220007417893 -0.0822918224600378 0.6916718913278392
0.7081169285261981 -0.11954771517615342 -0.10557610092900604 0.6878461562388292
0.7075526129225792 -0.14170672117252453 -0.12990665210464983 0.6800094121241431
0.7064938541356771 -0.15524563903154703 -0.15814997307294335 0.672126338959571
0.7075113953373291 -0.16196613043138064 -0.18565048431922335 0.6623657667162217
0.7085206351823516 -0.160300957140794 -0.20438090896436326 0.6561481582207364
0.7038817685784944 -0.16188171108167054 -0.21403304028147183 0.6576736655405379
0.6944279909534915 -0.1759972377371048 -0.2121557279849974 0.6646687459566702
0.6790634462588463 -0.18658830743555374 -0.20787273428197925 0.6788566973735726
0.6568827969208992 -0.19068033291999595 -0.20360711385325117 0.7004926585665854
0.6348022882829346 -0.18886985557121416 -0.20113766514878662 0.7217325812367883
0.6135019316800644 -0.1894350901428216 -0.20075542647061223 0.7398830130735935
0.5929781063879346 -0.19525233546707507 -0.20069720954842601 0.7549662784385521
0.5735909561798888 -0.20139555693398611 -0.2022819042543847 0.7677989386172315
0.5549522487091341 -0.2121940711298237 -0.20276244309848646 0.7783887106860069
0.5289512875286316 -0.22901883336586432 -0.20553817136939245 0.7908950388553724
0.5090674778680572 -0.22824457036797194 -0.20969329909220202 0.8029839666067491
0.5079259597596739 -0.21671038760099964 -0.2096668576564616 0.8068999976413869
0.5195195945452933 -0.20330646988482623 -0.18735614769877562 0.8084945669876942
0.5305869271282517 -0.1898533283831077 -0.1560920762946562 0.8112142259045945
0.5347808341880588 -0.16643448063132688 -0.12203419342447419 0.8194001130730713
0.5428261589093997 -0.14158234635077832 -0.08638347795931517 0.8233055360810434
0.5500566139799268 -0.11510080976635764 -0.052838585780757785 0.825468038147458
0.558564827859463 -0.08900890774952808 -0.021747252994239352 0.8243845373561484
0.5652090441711617 -0.06333725279595995 0.003681512309436419 0.8225043657940964
0.5685562985293323 -0.04086483025398349 0.023771916501359625 0.8212847967150717
0.569747478118253 -0.022863581318248005 0.03955120881897217 0.8205491001327155
0.5687808861379051 -0.011629901684077515 0.04643335418606459 0.821094909330634
0.5642723837393123 -0.008651046451937788 0.04276106569423621 0.8244351323805125
0.5614550686489846 -0.012480638212613665 0.0301513283214892 0.8268635535800664
0.572563123336045 -0.02165063633942843 0.009262748948508315 0.8195223552320415
0.5982997565783308 -0.03325896119737329 -0.008660925157118915 0.8005349994768949
0.6195798558909882 -0.041244258917502 -0.025735268936132483 0.7834266397407768
0.6419167076732342 -0.040741152568645245 -0.03515983944040546 0.7648835155579592
0.6633252285044458 -0.03784121851861971 -0.04418213419451289 0.7460667529267418
0.6804142349607922 -0.038866141869721205 -0.04512354949224551 0.7304038165700795
0.6976238169016874 -0.05148438943073319 -0.03869792425126045 0.7135635139458596
0.7118118300452986 -0.06899441951235458 -0.0305436391537659 0.6983055257652799
0.719381106321381 -0.0699725472961461 -0.027417650553336614 0.6905380688282345
0.723861596598038 -0.06501623860153127 -0.0235939940845718 0.6864696490187145
0.7229768351098705 -0.05849802229041279 -0.020150052272873697 0.6880961476761556
